trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
530,False,"{'e': 0.004991593906910217, 'a': 0.5}",25,19,12.57595922486879,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'e': 0, 'a': 0}",25,7,33.86249443653656,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'e': 0, 'a': 0}",20,4,32.60990095830068,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'e': 0, 'a': 0}",20,8,24.993378675750506,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'e': 0, 'a': 0}",30,16,28.3460145614682,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'e': 0, 'a': 0}",20,14,8.882626987825489,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'e': 0, 'a': 0}",20,8,18.166078153795144,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'e': 0, 'a': 0}",25,13,25.1134614207172,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'e': 0, 'a': 0}",25,11,27.910024252087812,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'e': 0, 'a': 0}",30,22,14.75248452116476,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'e': 0, 'a': 0}",30,22,15.720226226468977,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'e': 0, 'a': 0}",25,16,17.95582942535738,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'e': 0, 'a': 0}",25,13,25.110519183150263,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'e': 0, 'a': 0}",20,8,27.258367199790378,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'e': 0, 'a': 0}",20,15,9.274678351725473,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'e': 0, 'a': 0}",20,16,8.296935506192607,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'e': 0, 'a': 0}",25,11,31.672719879344516,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'e': 0, 'a': 0}",20,10,18.419683879988888,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'e': 0, 'a': 0}",20,2,34.1836929781409,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'e': 0, 'a': 0}",20,14,12.83962894176938,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'e': 0, 'a': 0}",25,3,44.377206201569635,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'e': 0, 'a': 0}",25,15,21.496938671393423,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,True,"{'e': 0, 'a': 0}",20,8,26.321793660239635,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'e': 0, 'a': 0}",35,21,31.63808598035181,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,True,"{'e': 0, 'a': 0}",20,12,15.580950204873046,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'e': 0, 'a': 0}",20,12,17.360605324015427,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,True,"{'e': 0, 'a': 0}",20,13,15.191447069781294,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,True,"{'e': 0, 'a': 0}",25,15,21.436883974529653,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,True,"{'e': 0, 'a': 0}",25,20,11.665585546236857,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,True,"{'e': 0, 'a': 0}",25,10,27.916349351613675,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,True,"{'e': 0, 'a': 0}",30,8,45.8461436542765,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,True,"{'e': 0, 'a': 0}",30,24,11.571209407269633,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,True,"{'e': 0, 'a': 0}",30,12,35.32678412184991,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,True,"{'e': 0, 'a': 0}",25,10,36.30977218362744,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,True,"{'e': 0, 'a': 0}",30,3,47.707787486669815,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,True,"{'e': 0, 'a': 0}",25,11,25.566131815566123,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,True,"{'e': 0, 'a': 0}",25,15,20.19702592605175,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,True,"{'e': 0, 'a': 0}",20,14,11.423427916109098,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,True,"{'e': 0, 'a': 0}",30,20,18.464721319127467,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,True,"{'e': 0, 'a': 0}",25,12,30.029550866774876,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,True,"{'e': 0, 'a': 0}",25,13,24.824450074421858,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,True,"{'e': 0, 'a': 0}",25,12,18.68948374122499,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,True,"{'e': 0, 'a': 0}",20,9,22.15920234817965,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,True,"{'e': 0, 'a': 0}",30,10,33.16515596193579,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,True,"{'e': 0, 'a': 0}",30,21,17.50036721050433,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,True,"{'e': 0, 'a': 0}",25,16,17.525005163307167,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,True,"{'e': 0, 'a': 0}",30,12,31.939614714563767,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,True,"{'e': 0, 'a': 0}",25,13,22.792880796368532,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,True,"{'e': 0, 'a': 0}",20,9,21.548854462656514,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,True,"{'e': 0, 'a': 0}",20,8,28.158079883834557,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,True,"{'e': 0, 'a': 0}",30,15,29.405679982119693,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,True,"{'e': 0, 'a': 0}",30,13,27.441532277990785,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,True,"{'e': 0, 'a': 0}",30,7,41.57336020756764,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,True,"{'e': 0, 'a': 0}",20,13,12.804208233687426,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
